Audio Emotion,MFCC,Pitch,Intensity
Angry 1,-27.778505,162.66857396534496 Hz,60.67617305929106 dB
Angry 2,-28.999773,253.93212803491815 Hz,59.100937596395326 dB
Angry 3,-28.72379,107.79203716380528 Hz,48.95278537076673 dB
Angry 4,-30.795341,272.3277631345246 Hz,60.51460991185201 dB
Angry 5,-26.254784,185.58912216969338 Hz,62.05653832243455 dB 
Disgust 1,-27.778505,147.66221404376253 Hz,49.54229810548234 dB
Disgust 2,-28.999773,223.53562541627463 Hz,47.295803567754 dB
Disgust 3,-28.72379,172.7775185183903 Hz,66.87096356018276 dB
Disgust 4,-30.795341,236.22628825597943 Hz,55.70259059936622 dB
Disgust 5,-26.254784,109.01419704702163 Hz,42.21113353800793 dB
Fearful 1,-27.778505,328.67027631212915 Hz,59.84090227702833 dB
Fearful 2,-28.999773,137.84923177229038 Hz,51.8662317061674 dB
Fearful 3,-28.72379,166.28633852352226 Hz,54.01210759054818 dB
Fearful 4,-30.795341,259.0852508693404 Hz,48.69660369630692 dB
Fearful 5,-26.254784,282.0657174364909 Hz,60.543153789598364 dB
Happy 1,-27.778505,132.06954413727388 Hz,57.258999050731944 dB
Happy 2,-28.999773,244.0739131773736 Hz,58.08698228398808 dB
Happy 3,-28.72379,161.1335011877189 Hz,53.80546743851636 dB 
Happy 4,-30.795341,142.97750646923572 Hz,54.57128001495347 dB
Happy 5,-26.254784,263.3682636743661 Hz,55.94873932599433 dB
Neutral 1,-27.778505,242.00076951058247 Hz,53.61471689294878 dB
Neutral 2,-28.999773,162.01537817446084 Hz,54.50098628002118 dB
Neutral 3,-28.72379,246.2582867153453 Hz,50.617576304842686 dB
Neutral 4,-30.795341,125.4465816585491 Hz,46.27680138939904 dB
Neutral 5,-26.254784,240.2855331627248 Hz,46.50969888115281 dB
Sad 1,-27.778505,123.23735626141396 Hz,48.663443548714525 dB
Sad 2,-28.999773,230.28932361308873 Hz,50.64524828492519 dB
Sad 3,-28.72379,135.37955997905334 Hz,49.0795450569957 dB
Sad 4,-30.795341,225.50582816692244 Hz,50.77474476783075 dB
Sad 5,-26.254784,95.64471944359933 Hz,39.18279646070228 dB
Surprised 1,-27.778505,214.45450935793298 Hz,58.92967093573986 dB
Surprised 2,-28.999773,265.3653663135079 Hz,59.1383252288723 dB
Surprised 3,-28.72379,128.09721881631594 Hz,53.632396412747674 dB
Surprised 4,-30.795341,267.45887244725526 Hz,63.078594230069555 dB
Surprised 5,-26.254784,150.02223193405158 Hz,53.522521057798905 dB
